,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
959,company collaboration platform reporting status since,company collaboration platform reporting status since,spxqmiry zpwgoqju,GRP_16,English,English,English,53,53,6,6
960,vip collaboration platform page access issue,vip collaboration platform page access issue,lqdpfamz mqitfrcv,GRP_16,English,English,English,44,44,6,6
961,running report zsdr open order report report pulling usa scheduling agreement,running report example would location plant source location making sure output tab scheduling agreement included report picking scheduling agreement,prgewfly ndtfvple,GRP_13,English,English,English,148,77,19,11
962,boot service tag lkzddens,window running problem go start repair page loading fine safe mode networking user able log using admin account dint dint access tried shutting trying booting flea power going repair screen lkzddens contact detail contacted,qdtywmkv aolijwnx,GRP_3,English,English,English,223,25,34,4
963,hostname volume label sys hostname space consumed space available,hostname volume label sys hostname space consumed space available,spxqmiry zpwgoqju,GRP_12,English,English,English,65,65,9,9
964,need address added xerox prtqx,need address added xerox prtqx,lrhfoxen hlqsumgx,GRP_3,English,English,English,30,30,5,5
965,personal number locked expense report,personal number locked expense report,uyhceqzr tpbdwiyv,GRP_0,English,English,English,37,37,5,5
966,erp sid password reset,erp sid password reset,mpihysnw wrctgoan,GRP_0,English,English,English,22,22,4,4
967,passwort,received hallo ersuche alle meine passw rter zur ckzusetzen gesperrt crm erp vpn hello password locked crm erp vpn mit freundlichen best,soldfnbq uhnbsvqd,GRP_0,English,English,English,136,8,22,1
968,skype outlook synch issue meeting showing skype,skype outlook synch issue meeting showing skype error message attached error message skype business exchange making connection,ncksqfmz fzcjunai,GRP_0,English,English,English,126,47,17,7
969,outlook hang,unable open outlook hang process stage,oncidblt ucewizyd,GRP_19,English,English,English,38,12,6,2
970,message sent company quarantine database please contact company help desk information,ncasrpvx fijwprtv sent wednesday october nwfodmhc exurcwkm subject notification hello could check message,ncasrpvx fijwprtv,GRP_26,English,English,English,105,85,13,11
971,companyguest account day,mechmet hswddwk company sllwdw tel email hswddwk wsjsoiwd period til tomorrow,mfeyouli ndobtzpw,GRP_0,English,English,English,77,24,11,3
972,unable print driver found,unable print driver found,khrflgcj zxojidhe,GRP_0,English,English,English,25,25,4,4
973,unable open outlook,unable open outlook,stvpxkbf gqchobaj,GRP_0,English,English,English,19,19,3,3
974,access ethic see failure message,welcome company business ethic conduct center ethic training site record indicate log credential used access site company collaboration platform match record file within active directory please submit ticket global support center ensure network log correctly entered erp,jkuaslxe hrodszpl,GRP_23,English,English,English,270,32,37,5
975,need change password,need change password,cukzsyjo lxspyctf,GRP_0,English,English,English,20,20,3,3
976,fails log erp engineering tool,changed password using password manager locked erp used password manager unlock still fails log erp engineering tool,hftanwjr lhdqcwsr,GRP_0,English,English,English,116,30,17,5
977,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
978,unable open netweaver,unable open netweaver,ueqoimkc mhqyzklv,GRP_0,English,English,English,21,21,3,3
979,skype functioning,trying use skype responding working earlier,mscgnafj bvftidka,GRP_0,English,English,English,43,17,6,2
980,vip user unable login,vip user unable login advised user restart try login new password reset help user login connected user system using teamviewer help user login password manager tool password tool change password help user sync psswords company network caller confirmed able login issue resolved,jetgpdqn rpfqxzvb,GRP_27,English,English,English,277,21,42,4
981,employment status new non employee ycgkinov czoparqg temp,page ensure required data field complete submitting use template consultant temp intern vendor etc please complete entry first name johddnthay last name welwsswbtwe location usa manager sponsor keddsdn wethrybb cost center bdm external company name kellkwdy system need access mii mii yes yes user operator admin supervisor operator need username word security note mii add shopfloor user user sid account company email required person yes default license assigned use owa collaboration platform outlook client skype outlook client skype required costly license must assigned used company computer assign license access like required review copy person access approval requires access date computer owned company yes laptop desktop computer name remote access vpn required yes please provide application erp system network server user need access via vpn start date,lfikjasz tjbqcmvl,GRP_2,English,English,English,865,57,126,8
983,company guest account set,company guest account set,vmqcyzda kgvrfwcj,GRP_0,English,English,English,25,25,4,4
984,west coast email box grab email color code undating,updating people working email box see email duplicating work,wlhxrogv yawtxuod,GRP_0,English,English,English,60,51,9,9
985,query regarding unread sync failure email,query regarding unread sync failure email,wstxjbpv tjlncygd,GRP_0,English,English,English,41,41,6,6
986,unable login mii system yrhackgt sfhxckgq,unable login mii system yrhackgt sfhxckgq checked account found locked suggested user unlock account password management tool try logging time,djlpawmc nyzwqofu,GRP_0,English,English,English,142,41,20,6
987,unable launch ethic flash player issue,unable launch ethic flash player issue,ebikdrqw empubwxo,GRP_0,English,English,English,38,38,6,6
988,unable access time,unable access time,ebikdrqw empubwxo,GRP_0,English,English,English,18,18,3,3
989,pls reset sid crm production access,name francestrhuco language browser microsoft internet explorer customer number telephone summary pls reset sid crm production access thx,uvdqkbgi suabfdci,GRP_0,English,English,English,137,35,18,6
990,cannot get thru customer application support something wrong phone get mesaage,number,wlhxrogv yawtxuod,GRP_7,English,English,English,6,78,1,11
991,microsoft outlook responding cannot open,krthdelly sthytachnik phone usa location login,stvpxkbf gqchobaj,GRP_0,English,English,English,46,40,6,5
992,called unlock nvyjtmca xjhpznds account user datacntr,called unlock nvyjtmca xjhpznds account user datacntr,shloyakw jztsxdln,GRP_0,English,English,English,53,53,7,7
994,help change window password using password management tool password tool,help change window password using password management tool password tool connected user system using teamviewer help user login password management tool password tool change password help user sync psswords company network caller confirmed able login issue resolved,crjhotyk pxslorbe,GRP_0,English,English,English,265,72,37,10
995,bei herrn potthryzler benutzerkennung potsffwzlo geht tool rechner empw nicht,fehlermeldung systemfehler potthryzler user identification potzlow tool computer empw error message system error,txkgmwbc qohmgwrp,GRP_33,English,English,English,112,77,13,10
996,account unlock,account unlock,usalikfj lfmpxbcn,GRP_0,English,English,English,14,14,2,2
998,erp,received good morning unable log erp normal review doyhtuug endlkglfeghart determined switchover server please correct log normal,tdkfuobm qrtmaxos,GRP_0,English,English,English,129,3,17,1
999,unable login sid,unable login sid,svhuewoy dluchbfg,GRP_0,English,English,English,16,16,3,3
1000,winwip working asking buy trial version validity expired,winwip working asking buy trial version validity expired,jhwgydeb ufiatosg,GRP_0,English,English,English,56,56,8,8
1001,erp ksff dashbankrds need push computer lrrw,received please push erp mii ksff dashbankrd computer,dpuifqeo eglwsfkn,GRP_41,English,English,English,53,44,8,7
1002,need access erp sid like rpgcdbfa reuwibpt,need access erp sid like rpgcdbfa reuwibpt,svhuewoy dluchbfg,GRP_2,English,English,English,42,42,7,7
1003,user need help login erp sid,user need help login erp sid connected user system using teamviewer help userlogin erp sid issue resolved,sidyuncg ptvogsxa,GRP_0,English,English,English,105,28,17,6
1004,need configuration new,need configuration new,xbjrphgk unbzmyhk,GRP_0,English,English,English,22,22,3,3
1005,training polycom,received hellow someone help install polycom issue,lkfzibrx ljnabpgx,GRP_0,English,English,English,50,16,7,2
1006,please give access sid uacyltoe hxgaycze system user pildladjadga,please give access sid uacyltoe hxgaycze system user pildladjadga,vtzhelgs ivewqogm,GRP_0,English,English,English,65,65,9,9
1007,acces sid,received hello due travel tool uacyltoe hxgayczeing please allow acces,rgpvdhcm mgvpabsj,GRP_0,English,English,English,70,9,10,2
1008,collaboration platform sync keep prompting password,changed password yesterday ever since keep getting message enter email password nothing happens get prompted enter one note syncing issue evry time work file keep getting prompt,geylvotd msadrzkj,GRP_0,English,English,English,177,51,27,6
1009,npc erp system stuck due employee leaving company,npc created svuxizgr mkynswqd left company task list looked complete left material fert assigned coordinator task complete,fgaulydz crswlkev,GRP_11,English,English,English,122,49,17,8
1010,ticket cpp user id password change needed user please assign bokrgadgsu esdwduobrlcn,received hello drwfubia per conversation two case unable change password erp system password reset daypay know ticket assigned created ticket assigned someone someone else please reassign accordingly cphemg erp sid account locked login possible cphemg erp sid account locked login possible,wibovsru ulmqyhsk,GRP_0,English,English,English,289,84,41,12
1011,need access eagcldaten aese leitung csd emealeitung,need access eagcldaten aese leitung csd emealeitung,mdfugwzt wbcaqkgr,GRP_34,English,English,English,51,51,7,7
1012,folder deletion drive,received hello could please help retrieving deleted folder drive link folder name vacation plan vacation plan update file hostname team globalengservices tcb graphic vacation plan team vacation update xlsx please support,hjokrfpv fhpaxsqc,GRP_12,English,English,English,220,21,31,3
